Category,Author,Year,Title,Where_to_Place,Why_Include,Full_Reference,Priority
Abolition Movement,"Blackburn, Robin",1988,"The Overthrow of Colonial Slavery, 1776-1848",Section 5 (Historical Validation) - Abolition subsection,"Haitian Revolution and slave uprisings as friction manifestation, already cited but needs expansion","Blackburn, R. (1988). *The Overthrow of Colonial Slavery, 1776-1848*. London: Verso.",High
Abolition Movement,"Drescher, Seymour",1987,Capitalism and Antislavery: British Mobilization in Comparative Perspective,Section 5 (Historical Validation) - Abolition subsection,"British abolition via proxy consent mechanisms, already cited but needs expansion","Drescher, S. (1987). *Capitalism and Antislavery: British Mobilization in Comparative Perspective*. Oxford: Oxford University Press.",High
Abolition Movement,"Clarkson, Thomas",1808,"The History of the Rise, Progress, and Accomplishment of the Abolition of the African Slave-Trade",Section 5 (Historical Validation) - Abolition subsection,"Primary source from leading abolitionist researcher, documenting friction and mobilization","Clarkson, T. (1808). *The History of the Rise, Progress, and Accomplishment of the Abolition of the African Slave-Trade by the British Parliament*. London: Longman, Hurst, Rees, and Orme.",Medium
Abolition Movement,"Equiano, Olaudah",1789,The Interesting Narrative of the Life of Olaudah Equiano,Section 5 (Historical Validation) - Abolition subsection,"Primary source autobiography from enslaved person, documenting stakes and friction firsthand","Equiano, O. (1789). *The Interesting Narrative of the Life of Olaudah Equiano, or Gustavus Vassa, the African*. London: Author.",Medium
Abolition Movement,"Wilberforce, William",1789-1807,Parliamentary speeches on abolition,Section 5 (Historical Validation) - Abolition subsection,"Primary source documenting parliamentary campaign, proxy consent representation","Wilberforce, W. (1789-1807). Speeches on the abolition of the slave trade. In Hansard Parliamentary Debates.",Medium
Abolition Movement,Society for the Abolition of the Slave Trade,1787,Committee Formation Documents,Section 5 (Historical Validation) - Abolition subsection,Primary source documenting organized abolitionist movement formation,Society for the Abolition of the Slave Trade. (1787). Minutes of the Committee. London.,Low
Civil Rights Movement,"Branch, Taylor",1988,Parting the Waters: America in the King Years 1954-63,Section 5 (Historical Validation) - Civil rights subsection,"Comprehensive historical account of civil rights movement, friction escalation","Branch, T. (1988). *Parting the Waters: America in the King Years 1954-63*. New York: Simon & Schuster.",Medium
Civil Rights Movement,"King, Martin Luther Jr.",1963,Letter from Birmingham Jail,Section 5 (Historical Validation) - Civil rights subsection,"Primary source documenting stakes, friction, and nonviolent resistance philosophy","King, M. L. Jr. (1963). Letter from Birmingham jail. In *Why We Can't Wait*. New York: Harper & Row.",Medium
Civil Rights Movement,"Levy, Peter B.",1998,The Civil Rights Movement,Section 5 (Historical Validation) - Civil rights subsection,"Overview of movement tactics, protests as friction, incorporation dynamics","Levy, P. B. (1998). *The Civil Rights Movement*. Westport, CT: Greenwood Press.",Low
Civil Rights Movement,"Parks, Rosa and Haskins, James",1992,Rosa Parks: My Story,Section 5 (Historical Validation) - Civil rights subsection,"Primary source from Montgomery Bus Boycott catalyst, friction manifestation","Parks, R., & Haskins, J. (1992). *Rosa Parks: My Story*. New York: Dial Books.",Low
Labor Movement,"McGaughey, Ewan",2016,The Codetermination Bargains: The History of German Corporate and Labour Law,Section 5 (Historical Validation) - Labor rights subsection,"German codetermination emergence, already cited but needs expansion","McGaughey, E. (2016). The codetermination bargains: The history of German corporate and labour law. *Columbia Journal of European Law*, 23(1), 135-176.",High
Labor Movement,"Fine, Sidney",1969,Sit-Down: The General Motors Strike of 1936-1937,Section 5 (Historical Validation) - Labor rights subsection,"Most significant American labor conflict, friction manifestation and UAW formation","Fine, S. (1969). *Sit-Down: The General Motors Strike of 1936-1937*. Ann Arbor: University of Michigan Press.",Medium
Labor Movement,"Jaeger, Simon et al.",2022,Worker Representation on Corporate Boards,Section 5 (Historical Validation) - Labor rights subsection,"Codetermination outcomes validation, already cited but needs context","Jaeger, S., Schoefer, B., & Heining, J. (2022). Worker representation on corporate boards. Unpublished working paper.",Medium
Labor Movement,Knights of Labor,1878,Preamble and Declaration of Principles,Section 5 (Historical Validation) - Labor rights subsection,Primary source documenting early labor movement stakes claims and demands,Knights of Labor. (1878). Preamble and Declaration of Principles. Philadelphia.,Medium
Labor Movement,"Cole, G.D.H.",1923,Labour in the Coalmining Industry 1914-1921,Section 5 (Historical Validation) - Labor rights subsection,"British labor movement during WWI, stakes-consent misalignment and strikes","Cole, G. D. H. (1923). *Labour in the Coalmining Industry 1914-1921*. Oxford: Clarendon Press.",Low
Labor Movement,"Hinton, James",1973,The First Shop Stewards' Movement,Section 5 (Historical Validation) - Labor rights subsection,"Shop steward movements and worker voice demands, friction and mobilization","Hinton, J. (1973). *The First Shop Stewards' Movement*. London: George Allen & Unwin.",Low
Political Theory Foundations,"Dahl, Robert A.",1971,Polyarchy: Participation and Opposition,Section 2 (Literature Review) - Deliberative democracy and legitimacy theory subsections,"Foundational work on polyarchy, democratic institutions, participation vs competence","Dahl, R. A. (1971). *Polyarchy: Participation and Opposition*. New Haven: Yale University Press.",High
Political Theory Foundations,"Dahl, Robert A.",1956,A Preface to Democratic Theory,Section 2 (Literature Review) - Democratic theory subsection,"Democratic legitimacy, polyarchy model, political equality","Dahl, R. A. (1956). *A Preface to Democratic Theory*. Chicago: University of Chicago Press.",High
Political Theory Foundations,"Hobbes, Thomas",1651,Leviathan,Section 2 (Literature Review) - Constitutional Political Economy subsection,Foundational social contract theory on consent and political authority,"Hobbes, T. (1651). *Leviathan*. London: Andrew Crooke.",High
Political Theory Foundations,"Mill, John Stuart",1861,Considerations on Representative Government,Section 2 (Literature Review) - Democratic theory subsection,"Representative government, balance between participation and competence, plural voting","Mill, J. S. (1861). *Considerations on Representative Government*. London: Parker, Son, and Bourn.",High
Political Theory Foundations,"Mill, John Stuart",1859,On Liberty,Section 2 (Literature Review) - Constitutional foundations,"Individual liberty, consent, limits of state power","Mill, J. S. (1859). *On Liberty*. London: John W. Parker and Son.",High
Political Theory Foundations,"Pitkin, Hanna Fenichel",1967,The Concept of Representation,Section 2 (Literature Review) - Stakeholder theory and representation subsection,"Foundational work on political representation, substantive vs descriptive representation, acting for constituents","Pitkin, H. F. (1967). *The Concept of Representation*. Berkeley: University of California Press.",High
Suffrage Movement,"Stanton, Elizabeth Cady et al.",1848,"Declaration of Sentiments, Seneca Falls Convention",Section 5 (Historical Validation) - Suffrage expansion subsection,"Primary source for women's suffrage movement origins, consent and stakes claims","Stanton, E. C., Mott, L., et al. (1848). Declaration of Sentiments and Resolutions. Seneca Falls Convention, July 19-20, 1848.",High
Suffrage Movement,"Teele, Dawn Langan",2018,Forging the Franchise: The Political Origins of the Women's Vote,Section 5 (Historical Validation) - Suffrage subsection,"Electoral logic and competitive mobilization in franchise expansion, already cited but ensure proper context","Teele, D. L. (2018). *Forging the Franchise: The Political Origins of the Women's Vote*. Princeton: Princeton University Press.",High
Suffrage Movement,"Mason, Bertha",1912,The Story of the Women's Suffrage Movement,Section 5 (Historical Validation) - Suffrage subsection,Contemporary historical account of movement tactics and friction escalation,"Mason, B. (1912). *The Story of the Women's Suffrage Movement*. London: Sherratt & Hughes.",Medium
Suffrage Movement,"Miller, Henry",2021,The British Women's Suffrage Movement and the Practice of Petitioning,Section 5 (Historical Validation) - Suffrage subsection,"Petitioning as friction manifestation, grassroots mobilization tactics","Miller, H. (2021). The British women's suffrage movement and the practice of petitioning. *The Historical Journal*, 64(3), 671-695.",Medium
Suffrage Movement,"Pankhurst, Emmeline",1914,My Own Story,Section 5 (Historical Validation) - Suffrage subsection,"Primary source autobiography from suffragette leader, friction and mobilization firsthand","Pankhurst, E. (1914). *My Own Story*. London: Eveleigh Nash.",Medium
Suffrage Movement,"Ramirez, Francisco O. et al.",1997,Women's Suffrage and the Myth of Civic Nationalism,Section 5 (Historical Validation) - Suffrage subsection,"Transnational networks and international diffusion effects, already cited but needs expansion","Ramirez, F. O., Soysal, Y., & Shanahan, S. (1997). The changing logic of political citizenship: Cross-national acquisition of women's suffrage rights, 1890 to 1990. *American Sociological Review*, 62(5), 735-745.",Medium
Suffrage Movement,"Higginson, Thomas Wentworth",1859,Ought Women to Learn the Alphabet?,"Section 5 (Historical Validation) - Suffrage subsection, early advocacy","Early suffrage advocacy in Atlantic Magazine, documenting stakes recognition","Higginson, T. W. (1859). Ought women to learn the alphabet? *The Atlantic Monthly*, 3(16), 137-150.",Low
